Wed Apr 26 2023 00:47:59 GMT-0300 (Horário Padrão de Brasília), GET, /, undefined 
Wed Apr 26 2023 00:47:59 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui.css, undefined 
Wed Apr 26 2023 00:47:59 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-bundle.js, undefined 
Wed Apr 26 2023 00:47:59 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-standalone-preset.js, undefined 
Wed Apr 26 2023 00:47:59 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-init.js, undefined 
Wed Apr 26 2023 00:47:59 GMT-0300 (Horário Padrão de Brasília), GET, /favicon-32x32.png, undefined 
Wed Apr 26 2023 00:54:11 GMT-0300 (Horário Padrão de Brasília), GET, /, undefined 
Wed Apr 26 2023 00:54:11 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui.css, undefined 
Wed Apr 26 2023 00:54:11 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-bundle.js, undefined 
Wed Apr 26 2023 00:54:11 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-standalone-preset.js, undefined 
Wed Apr 26 2023 00:54:11 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-init.js, undefined 
Wed Apr 26 2023 00:54:15 GMT-0300 (Horário Padrão de Brasília), GET, /, undefined 
Wed Apr 26 2023 00:54:15 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui.css, undefined 
Wed Apr 26 2023 00:54:15 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-bundle.js, undefined 
Wed Apr 26 2023 00:54:15 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-standalone-preset.js, undefined 
Wed Apr 26 2023 00:54:15 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-init.js, undefined 
Wed Apr 26 2023 00:54:15 GMT-0300 (Horário Padrão de Brasília), GET, /favicon-32x32.png, undefined 
